品目,取扱,理由•受入条件
義足,粗大•不燃,個人で使用していたものに限る。
ギブス,受入不可,医療系廃棄物であるため
吸引器,可燃,在宅医療用に限って受入可とする。
給湯器（ガス）,粗大,
金庫（据え置き型）,受入不可,組合設備の破砕機•内部ハンマー等が、損傷するおそれがあるため
金庫（手さげ型）,不燃,一斗缶サイズを超える大きさのものは粗大ごみ
クーラーボックス,不燃,一斗缶サイズを超える大きさのものは粗大ごみ
薬（投薬、家庭用）,可燃,
靴,可燃,金属が付いているものは不燃ごみ
車椅子,粗大,再利用を検討すること
車椅子（電動式）,受入不可,"再利用を検討。本体部分に鉄製のシャフトが入っているため
（16.12.01製造メーカー確認済）"
蛍光管安定器,受入不可,ＰＣＢ等が混入されているため、特別管理廃棄物として取り扱う。
蛍光灯器具,粗大•不燃,家庭用のみ受入可能。ただし、一斗缶サイズを超える大きさのものは粗大ごみ
珪藻土マット,受入不可,
携帯電話,不燃,販売店等に返すのが望ましい。
血圧計（水銀）,受入不可,医療機器に該当するため
ケミカルライト,可燃,
化粧品のビン,ビン,空きビンと同様に取り扱う。
剣道の防具,粗大•可燃,面•胴防具•竹刀は粗大ごみ。小手防具は可燃ごみ
ゴーカート,粗大,20cm×15cm×15cm以内のモーター式のみ（エンジン付きは受入不可）。
コーキング剤（かす含む）,受入不可,産業廃棄物であるため
こけし,不燃,燃え残りが発生するため
こたつの足,可燃,直径５cmを超える物もあるが、数本で搬入される場合は受入可能。ただし、金具が付いている場合は不燃ごみ
碁盤,粗大,
コピー機,粗大,家庭から排出された物のみ受入可能。トナー液、油などは取り除く。高さ、幅、奥行き３辺の合計１.２ｍ以内とする。
ゴルフボール,可燃,
コンクリートブロック,受入不可,建築廃材であるため
コンプレッサー,不燃,粗大ごみの大きさのものは受入不可とする。
サーフボード,粗大,２ｍ×１ｍ以内に切断したもの
座椅子,粗大,
サウナ（木製家庭用）,粗大,木製であれば粗大ごみで受入可能。ただし、金具があれば外すこと
サーバー,粗大•不燃,PCリサイクル法対象外のため、受入可とする。
座布団,可燃,５０ｃｍ×５０ｃｍ以内に切れば、可燃ごみ
三角表示板,粗大•不燃,後から購入した三角表示板は、粗大又は不燃ごみ
サンゴ礁,可燃,細かく砕くこと
酸素エアチャージャー,粗大•不燃,
紫外線消毒器,粗大•不燃,
ＣＤ,不燃,金属類のため資源プラではない。事業系は受入不可とする。
磁石,不燃,
七輪,粗大•不燃,大きさにより、粗大ごみ又は不燃ごみに分類される
自動車カバー,粗大,５０ｃｍ×５０ｃｍ以内に切れば可燃ごみ
自動車部品,受入不可,"•走行に必要な部品（ハンドル、ホイール、ギア、ライトなど）
•車購入時に備わっていた部品（ジャッキ、発炎筒など）
•後から購入した三角表示板等は粗大又は不燃ごみ"
芝刈り機（家庭用）,粗大,事業系は受入不可とする。
ジャッキ,粗大•不燃,車載工具を除く（自動車部品参照）。大きさにより粗大又は不燃ごみ
シャンプー等のボトル,資源プラ,洗ってあれば、ボトル本体及びポンプ部分を含めて資源プラ
消火器,受入不可,専門業者以外での処理が不可能であるため
将棋盤,粗大,厚さ５㎝を超える大きさのものは受入不可とする。
照明器具,不燃,家庭用のみ受入可能。一斗缶サイズを超える大きさのものは粗大ごみ。ＰＣＢ等が混入されているものは受入不可とする。
食用油のカン,カン,中身を完全に使いきること
食用油のビン,ビン,中身を完全に使いきること
食用油のペットボトル,資源プラ•可燃,洗って汚れが取れていれば資源プラ。汚れが残っていれば可燃ごみ
除草剤の袋,可燃,
水槽用クーラー,粗大,家電４品目のエアコンとは、用途•内容が異なるが、フロンガス使用のものは受入不可
硯（すずり）（石）,受入不可,石の硯は受入不可。セラミックや磁器製は不燃ごみ。プラ製は資源プラ
スチール机,粗大,事業系は受入不可とする。
ステ看板,受入不可,紙製は５０cm以内に切断すれば可燃ごみ（針金•釘等は取除くこと）
砂•土•石•ブロック,受入不可,建築廃材であるため
スプレー缶,ビン,中身を完全に使いきること(中身が残っているものは受入不可）とし、穴開けは不要とする。
スロットマシーン(自宅用）,粗大,１台のみ。ただし、自宅用ゲーム機に限る。
セグウェイ（電動立ち乗り二輪車）,受入不可,購入先等で引き取ってもらうこと（電動式のため、破砕時火災の原因となる。）
石こうボード,受入不可,建築廃材であるため
石灰,受入不可,
セメント類,受入不可,建築廃材であるため
洗濯機•衣類乾燥機,受入不可,家電リサイクル法対象品のため。分解したものでも受入不可とする。
洗濯機（バケツ型）,粗大,排水機能が無く、電動バケツの記載が有るものは受入可とする。
洗面器（プラスチック製）,資源プラ,金属製は不燃ごみとして取り扱う。
洗面台（陶器•ホーロー製）,粗大,
象牙,粗大,長さ２ｍ以内に切断したものに限る。
ソーラー温水器,受入不可,
ソファー,粗大,
体温計（水銀）,有害,
体温計（電子）,不燃,ボタン電池は取り外すこと
タイヤ（車•バイク•荷車）,受入不可,
タイヤ（自転車）,不燃,事業系は受入不可とする。
タイヤチェーン(鉄製),不燃,
タイヤチェーン(ゴム•プラスチック製),粗大,
タイヤホイール（車•バイク•荷車）,受入不可,
太陽光パネル,受入不可,「太陽光発電システム鑑定協会」へ問合せること（電話 03-5213-4344）
タイル,受入不可,建築廃材であるため
竹類,粗大,直径５cm、長さ５０cm以内のものは、可燃ごみとして受入可とし、50㎝以上2 ｍ以内のものは、粗大ごみとして受入可とする。
畳,粗大,自己搬入は、１日当たり１世帯８枚までとする（半畳も１枚とカウントする。）。
立ち乗り電動スクーター（電動立ち乗り二輪車）,受入不可,購入先等で引き取ってもらう（電動式のため、破砕時火災の原因となる。）。
卓球台,受入不可,２ｍ×１ｍ以内に切断したものは、粗大ごみとして受入可とする。
脱酸素剤,可燃,食品包装に利用されるもの
タブレット端末,粗大•不燃,ＰＣリサイクルマークのついているものはパソコンと同じ取り扱いのため、受入不可。また、携帯電話メーカーで購入、契約したものは携帯電話と同じ取り扱いのため、受入不可とする。
だるま,可燃,本体は紙、底に石膏を使用したもの。１斗缶を超える大きさのものは粗大ごみ
断熱材,受入不可,
ダンベル（鉄アレイ）,粗大•不燃,大きさにより粗大ごみ又は不燃ごみ。破砕できないものの、鉄クズとして処理できるため
チェーンソー,不燃,エンジンが20cm×15cm×15cm以内のみ受入可とし、工業用は受入不可とする。
チャイルドシート,粗大,リサイクルを検討すること
着火剤,可燃,水で濡らすこと
注射器•注射針,受入不可,伝染病等の感染の可能性があるため、病院等へ返却すること
使い捨てカイロ,可燃,燃えないごみとの表示があるものの、処理後には残渣になるため
使い捨てライター,有害,中身を使い切ること
漬け物石,受入不可,組合設備の破砕機•内部ハンマー等が、損傷するおそれがあるため
土•砂•石•ブロック,受入不可,建築廃材であるため
土ねんど,不燃,多量に排出する学校等は受入不可とする。
鉄筋棒,粗大,長さ２ｍ、直径１０ｍｍ以内
鉄パイプ,粗大,長さ２ｍ、直径５cm、厚み２ｍｍ以内とし、無垢材は受入不可とする。
テレビ（液晶•プラズマ含む）,受入不可,"家電リサイクル法対象品であり、分解したものも不可とする。
ＴＶチューナ搭載家電機器は主たる機能がＴＶか否かで判断するが、個別事案はメーカに問い合わせる。"
テレホンカード,資源プラ,社協等で回収している場合があるので確認すること
電気カーペット、電気毛布,粗大,５０cm×５０cm以内に切断すれば不燃ごみ
電気コードドラム,粗大,コードを切断しないでそのまま出す。事業系はコードを切断し結べば不燃ごみ
電子ピアノ,粗大,
電気ピアノ,受入不可,ピアノ線が使用されているため
電動機付き自転車,粗大,バッテリーは外し、バッテリー自体は受入不可とする。
電動スケートボード,受入不可,購入先等で引き取ってもらう（電動式のため、破砕時火災の原因となる。）。
電話機,不燃,
砥石,受入不可,
動物の糞尿•遺骨•死体（事業系）,受入不可,事業から生じるものは産業廃棄物に該当するため、受入不可とする。
動物の糞尿（事業系）,受入不可,ドッグラン施設等の事業施設由来のものについても、受入不可とする。
灯油,受入不可,組合で処理不可のため受入不可。購入店に引き取ってもらうこと
灯油のタンク（外用）,粗大,中身が空であること
トタン,粗大,２ｍ×１ｍ以内に切断したもの
扉•戸•網戸,粗大,木製はショベルローダーで粉砕可能。鉄製はリサイクルを行う。
ドラム缶,受入不可,組合設備の破砕機•内部ハンマー等が、損傷するおそれがあるため
塗料カン（家庭用）,カン,爆発のおそれがあるので中身を完全に使い切り残りは古布等で拭う。１斗缶以上の大きさは粗大ごみ、中身が完全に固まっているものは不燃ごみ
塗料カン（業務用）,受入不可,業務用は産業廃棄物として取り扱う（爆発のおそれあり。）。
長靴（金属入り）,不燃,
長靴（ゴム製）,可燃,
なみ板,粗大,２ｍ×１ｍ以内に切断したもの
人形•ぬいぐるみ,可燃,一斗缶以上の大きさのものは粗大ごみ
布,可燃,長いものは５０cm×５０cm以内に切ること
濡れ縁,粗大,
粘土（紙粘土•油粘土）,可燃,多量に排出する学校等は受入不可とする。
粘土（石こう粘土）,不燃,多量に排出する学校等は受入不可とする。
農家のマルチ（ビニールシート）,受入不可,農協に引き取ってもらうこと。家庭菜園用は可燃ごみ
農薬•農薬容器,受入不可,人体に悪影響を及ぼすため、購入店等に引き取ってもらうこと
剥製,粗大•不燃,一斗缶サイズを超える大きさのものは粗大ごみ
はしご（折りたたみ式アルミ製）,粗大,
パソコン,受入不可,ＰＣリサイクル制度によりメーカーで引き取り。自作、撤退メーカーなどはパソコン３R推進センターで引き取る。
パソコン部品,粗大•不燃,ノートパソコンから取り外したディスプレイも、部品扱いで受入可。サーバーもPCリサイクル法対象外のため、受入可とする。
パソコンプリンタ,粗大,業務用は受入不可とする。
パソコンディスプレイ,受入不可,ノートパソコンのディスプレイのみ受入可とする。
パチンコ台(自宅用）,粗大,１台のみ受入可能。ただし、自宅用ゲーム機に限る。
パチンコ玉,受入不可,破砕機損傷のおそれがあるため、受入不可とする。
発煙筒,受入不可,爆発のおそれがあるため、ディラー等に引き取ってもらうこと
バッテリー,受入不可,希硫酸による人体及び機械に悪影響を及ぼすため購入店等に引き取ってもらうこと
バッテリー用充電器,不燃,
発電機（キャンプ用ジェネレーター）,粗大•不燃,大きさにより粗大ごみ又は不燃ごみとして受入可とする。
発砲スチロール,可燃,圧縮梱包できないので可燃ごみとする。
花火,可燃,火薬を水で十分に濡らすこと
歯ブラシ,資源プラ,
歯磨き粉のチューブ,資源プラ•可燃,洗って汚れが取れていれば資源プラとして取り扱い、汚れが残っていれば可燃ごみとして取り扱う。また、必ずふたを外すこと
バランススクーター電動ボード（電動立ち乗り二輪車）,受入不可,購入先等で引き取ってもらう（電動式のため、破砕時火災の原因となる。）。
針金,粗大•不燃,長さ２ｍ、直径５ｍｍ以内
バルサン,ビン,未使用品は受入不可とする。
はんてん,可燃,５０cm×５０cm以内に切ってから出すこと
ハンドル,受入不可,車の走行に関する部品のため
ピアノ,受入不可,購入店等に引き取ってもらうこと。ピアノ線、鉄板は破砕不能のため
ビデオテープ,不燃,
ビデオデッキモニター,不燃,液晶式のみ受入可能。ブラウン管式は受入不可とする。
ビニール（事業系）,受入不可,産業廃棄物のため
ビニールひも,資源プラ,５０cm以内に切ること
火鉢,粗大•不燃,
肥料（園芸用）,可燃,生ごみと同類として取り扱う。また、土のように見える肥料も受入可とする。
ビールサーバー（業務用）,受入不可,
フィルムネガ,可燃,家庭から排出されたものに限る。事業系は受入不可とする。
仏壇,粗大,
布団,粗大,５０cm×５０cm以内に切れば可燃ごみ
プラスチック製剣山,可燃,事業系は受入不可とする。
プラズマテレビ,受入不可,家電リサイクル法対象品であるため受入不可とし、分解したものでも同様とする。
プリンタ,粗大,パソコンプリンタ以外のもの
風呂がま,粗大,
プロジェクションテレビ,粗大,
ブロック•石•土•砂（ペット用砂含む）,受入不可,建築廃材であるため
フロッピーディスク,不燃,
ペットのトイレ砂,可燃,紙、シリカゲル等の材質の加工製品は可燃ごみ、砂そのものは受入不可、糞は取り除く。
ベビーカー,粗大,
ヘリウムガスボンベ,受入不可,専門業者以外での処理が不可能であるため
ヘルメット,不燃,
便器（陶器製）,粗大,
便座（ウオシュレット含む）,粗大,洗浄してビニール袋に入れる。
ペンキ缶（家庭用、１斗缶まで）,カン,爆発のおそれがあり。中身を完全に使い切り、残りは古布等で拭う。１斗缶サイズを超える大きさのものは粗大ごみ。中身が完全に固まっているものは不燃ごみ
防犯ジャリ,受入不可,石は処理できないため
ボウリングの玉,受入不可,破砕機での処理が不可能なため、受入不可とする。
ポータブル電源,受入不可,
ボタン電池,受入不可,購入店等に引き取ってもらうこと
ポリタンク(灯油用),粗大,中身を完全に使いきること
ポリッシャー（床洗浄器）,粗大,
保冷剤,可燃,
マージャン卓（全自動）,粗大,
枕,可燃,５０cmを超えるものは粗大ごみ
マスキングテープ（塗装業関係）,受入不可,産業廃棄物のため
マスキングビニール(塗装業関係）,受入不可,産業廃棄物のため
マッチ,可燃,水で十分に濡らすこと
まな板（プラスチック製）,不燃,圧縮梱包できない。そのまま焼却すると燃え固まるので破砕してから焼却する。
マネキンの頭（ヘアーカット練習用）,不燃,材質はプラだが、まな板同様圧縮できないため
マヨネーズの容器,資源プラ•可燃,洗って汚れが取れていれば資源プラ。汚れが残っていれば可燃ごみ
マルチシート（家庭菜園用）,可燃,一般家庭から排出したものに限る(５０cm×５０cm以内にする。)。
マルチシート（農家用•塗装業用）,受入不可,産業廃棄物扱いとする。農業の場合は農協に引き取ってもらう。
ミシン,粗大,
めがね,不燃,
毛布,粗大,市の集団回収を推進、50cm×50cm以内に切れば可燃ごみ
モーター,不燃,２０cm×１５cm×１５cm以内のみ可能で、それ以上又は工業用は受入不可とする。
物置（金属製の組み立て式）,粗大,幅９０cm×高さ２ｍ以内までで、それ以上は分解すれば受入可とする。
物干し竿•台,粗大,台に使用するコンクリートや石は受入不可とする。
野球のバット(金属•木製),粗大,
薬剤のプラ袋（糖尿病、人工透析、ストマ等）,可燃,在宅医療に限る。注射器•注射針がないこと
薬品類（劇毒物）,受入不可,ビン等の容器を含む。毒物への対応ができないため
屋根,受入不可,建築廃材であるため
湯沸かし器,粗大,
養生シート（一般家庭）,資源プラ,汚れを取り除き５０cm×５０cm以内に切って出すこと
養生シート（塗装業•農業用）,受入不可,産業廃棄物扱いとする。農業の場合は農協に引き取ってもらうこと
浴槽（ステンレス、ホーロー、ＦＲＰ製）,受入不可,購入店等で引き取ってもらうこと
よしず,粗大,５０cm×５０cm以内に切断すれば可燃ごみ
ライター,有害,中身を使いきること
ラジカセ,不燃,一斗缶サイズを超える大きさのものは粗大ごみ
ラップ,資源プラ,汚れているものは可燃ごみ
ラムネのビン,ビン,中のビー玉はそのままでよい。
ランドセル,可燃,金具部分は不燃ごみ。金属部分を外さないものは不燃ごみ
リヤカー,受入不可,破砕機での処理が不可能なため、取扱店等に引き取ってもらうこと。解体できれば粗大ごみ
ルーフボックス,粗大,エアロボックスについても粗大ごみとする。
冷蔵庫•冷凍庫•冷温庫,受入不可,家電リサイクル法対象品、分解したものでも受入不可とする。
レジ袋,"資源プラ
資源プラ•可燃",洗って汚れが取れていれば資源プラ。ただし、汚れが残っていれば可燃ごみとして取り扱う。
レトルト食品の袋,,
レンガ,受入不可,建築廃材であるため
レンジフードフィルター（ガラス繊維）,不燃,家庭系に限る。
レントゲンフィルム（医療用）,受入不可,産業廃棄物であるため
ローソク（事業で発生した物）,受入不可,事業系ローソク（製造業等多量）は、材質がパラフィン系（油脂）であり引火性があるため受入不可。（ロウソクメーカー、カメヤマ㈱に確認）
ローソク（家庭で使用した物）,可燃,少量であれば、可燃ごみとして処理する。
ワープロ,粗大,卓上型も、一斗缶を超える大きさのものは粗大ごみ
ワイヤーネット（ハンガーネット）,粗大•不燃,
ワインセラー,受入不可,
ワックス（液体）,受入不可,液体のため受入不可。購入先で引き取ってもらう。
ワックス（固形）,可燃,
割れたビン,ビン,透明•白色半透明袋に入れること
エアコン,受入不可,"•左記品目は「家電リサイクル法」の対象品目であるため、販売店又は指定業者等へ引き取りの依頼をすること。
•分解した物も受入不可。ただし、火災などで原型をとどめない又は識別できない場合は、リサイクルの対象にはならないので受入可能
（家電製品協会に確認済。）。"
テレビ,受入不可,"•左記品目は「家電リサイクル法」の対象品目であるため、販売店又は指定業者等へ引き取りの依頼をすること。
•分解した物も受入不可。ただし、火災などで原型をとどめない又は識別できない場合は、リサイクルの対象にはならないので受入可能
（家電製品協会に確認済。）。"
冷蔵庫•冷凍庫,受入不可,"•左記品目は「家電リサイクル法」の対象品目であるため、販売店又は指定業者等へ引き取りの依頼をすること。
•分解した物も受入不可。ただし、火災などで原型をとどめない又は識別できない場合は、リサイクルの対象にはならないので受入可能
（家電製品協会に確認済。）。"
洗濯機•衣類乾燥機,受入不可,"•左記品目は「家電リサイクル法」の対象品目であるため、販売店又は指定業者等へ引き取りの依頼をすること。
•分解した物も受入不可。ただし、火災などで原型をとどめない又は識別できない場合は、リサイクルの対象にはならないので受入可能
（家電製品協会に確認済。）。"
パソコン,受入不可,"ＰＣリサイクル制度により、各メーカーによる引き取り。ただし、自作又は撤退メーカーのもの等は、「一般社団法人パソコン３R推進協
会（電話：044-540-0576）」で引き取る。"
自動車部品,受入不可,"•走行に必要な部品（ハンドル、ホイール、ワイパー、ギア、ライトなど）
•車購入時に備わっていた部品（ジャッキ、発炎筒など）
•後から購入した三角表示板等は粗大•不燃ごみ"
医療器具（在宅医療のチューブ、バック等）,可燃,"在宅医療に限り、鋭利でないものを可燃ごみとして受入れ。
（例：輸液バッグ類、チューブ類、注入器等）"
医療器具（上記以外のもの）,受入不可,注射器、注射針（針が付随している又はしていた器具類は危険であるため、医療機関へ返却すこと）
"受入可能な判断基準
（サイズ）",可燃ごみ,５０cm×５０cm以内。
"受入可能な判断基準
（サイズ）",不燃ごみ,２４cm×２４cm×３５cm＝18ℓ缶(一斗缶)サイズ以内。
"受入可能な判断基準
（サイズ）",資源プラ,シート状の物は、５０cm×５０cm以内。
"受入可能な判断基準
（サイズ）",資源プラ,ひも状の物は、長さ５０cm以内。
"受入可能な判断基準
（サイズ）",資源プラ,それ以外のプラは、一斗缶(２４cm×２４cm×３５cm)サイズ以内。
"受入可能な判断基準
（サイズ）",粗大ごみ,"•上記基準を超える物は、粗大ごみ（破砕機に入る２ｍ×１ｍ以内。）
•奥行•厚さについては組合へ要相談。"
受入不可物の判断基準,,"・破砕機で処理可能なのか、投入できるのか（大きさ、形状、材質等
から判断する）。
・一般廃棄物か産業廃棄物か。
・一般廃棄物か医療系廃棄物か(感染性があるか否か。)。
・事業で利用していた物を、家庭用に譲受けても、事業系の廃棄物と
する。"
新座環境センター可燃性粗大,粗大,枝、竹等は、長さ２．０ｍ以内。トラック（２ｔまで）は、１日１台までとする。
自治会主催の夏祭り等のごみ,,事業系廃棄物の扱いになるため有料。粗大ごみは受入不可。
"管理組合・マンション等から発生
した粗大ごみ(自転車等",,個人(住人)名で申請→家庭系で受入可（分別してあること）。
のぼり旗,,　旗の部分（可燃ごみ）のみ受入可。プラ部分は受入不可。
搬入車両の大きさ,,全長５ｍを超えない車両は、プラットホームへの搬入可。
"角材,板材厚さ５㎝角×長さ２ｍ００㎝まで",新座環境センター,
"角材,板材厚さ５㎝角以上×長さ２ｍ００㎝以上 受入",受入不可,
"角材,板材金具類を取り除くことができないもの",富士見環境センター,
"厚さ５㎝×幅５０㎝×長さ２ｍ００㎝まで 新角材,板材","新座環境センター
",
"角材,板材厚さ５㎝×幅５０㎝×長さ２ｍ００㎝以上 受",受入不可,
"角材,板材金具類を取り除くことができないもの",富士見環境センター,
木材の破片（細かい物）,可 燃 ご み,"・不燃物は必ず取り除くこと
　　→　不燃物が除去できない場合は不燃ごみへ。
　　・透明（半透明）の袋に入れて搬入すること
・カーペット、布団（座布団含）、カーテン、マットレス、毛布、
座布団類で、「縦５０㎝×横50㎝」以上のものは、「粗大ごみ」と
して取り扱う。"
紙製のもの（本、書類など）,可 燃 ご み,"・不燃物は必ず取り除くこと
　　→　不燃物が除去できない場合は不燃ごみへ。
　　・透明（半透明）の袋に入れて搬入すること
・カーペット、布団（座布団含）、カーテン、マットレス、毛布、
座布団類で、「縦５０㎝×横50㎝」以上のものは、「粗大ごみ」と
して取り扱う。"
布製のもの（タオル、衣類など）,可 燃 ご み,"・不燃物は必ず取り除くこと
　　→　不燃物が除去できない場合は不燃ごみへ。
　　・透明（半透明）の袋に入れて搬入すること
・カーペット、布団（座布団含）、カーテン、マットレス、毛布、
座布団類で、「縦５０㎝×横50㎝」以上のものは、「粗大ごみ」と
して取り扱う。"
プラスチック製のもの,可 燃 ご み,"・不燃物は必ず取り除くこと
　　→　不燃物が除去できない場合は不燃ごみへ。
　　・透明（半透明）の袋に入れて搬入すること
・カーペット、布団（座布団含）、カーテン、マットレス、毛布、
座布団類で、「縦５０㎝×横50㎝」以上のものは、「粗大ごみ」と
して取り扱う。"
ゴム類・皮製品,可 燃 ご み,"・不燃物は必ず取り除くこと
　　→　不燃物が除去できない場合は不燃ごみへ。
　　・透明（半透明）の袋に入れて搬入すること
・カーペット、布団（座布団含）、カーテン、マットレス、毛布、
座布団類で、「縦５０㎝×横50㎝」以上のものは、「粗大ごみ」と
して取り扱う。"
"カーペット、布団、カーテン、マットレス、毛布（長さ５０㎝×幅５０㎝以内は可燃ごみ）
",粗大ごみ,"・１斗缶（２４㎝×２４㎝×３５㎝）以上の物は、「粗大ごみ」と
して取り扱う。
・冷蔵庫（冷凍庫）、洗濯機、テレビ、エアコン（室外機含む）は
「家電リサイクル法」の対象となるため受入不可。ただし、原型を
とどめていない場合は、例外として受入可能とする。
"
畳 （１回８枚まで）,粗大ごみ,"・１斗缶（２４㎝×２４㎝×３５㎝）以上の物は、「粗大ごみ」と
して取り扱う。
・冷蔵庫（冷凍庫）、洗濯機、テレビ、エアコン（室外機含む）は
「家電リサイクル法」の対象となるため受入不可。ただし、原型を
とどめていない場合は、例外として受入可能とする。
"
"家具類
",粗大ごみ,"・１斗缶（２４㎝×２４㎝×３５㎝）以上の物は、「粗大ごみ」と
して取り扱う。
・冷蔵庫（冷凍庫）、洗濯機、テレビ、エアコン（室外機含む）は
「家電リサイクル法」の対象となるため受入不可。ただし、原型を
とどめていない場合は、例外として受入可能とする。
"
"大型電化製品
",粗大ごみ,"・１斗缶（２４㎝×２４㎝×３５㎝）以上の物は、「粗大ごみ」と
して取り扱う。
・冷蔵庫（冷凍庫）、洗濯機、テレビ、エアコン（室外機含む）は
「家電リサイクル法」の対象となるため受入不可。ただし、原型を
とどめていない場合は、例外として受入可能とする。
"
"金属類、陶器類、ガラス類
",不燃ごみ,"・１斗缶（２４㎝×２４㎝×３５㎝）以上の物は、「粗大ごみ」と
して取り扱う。"
木材から外した金具,不燃ごみ,"・１斗缶（２４㎝×２４㎝×３５㎝）以上の物は、「粗大ごみ」と
して取り扱う。"
小型電化製品,不燃ごみ,"・１斗缶（２４㎝×２４㎝×３５㎝）以上の物は、「粗大ごみ」と
して取り扱う。"
